roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0252,56,64,16,24,0.96875,4.288305351579448e-06,0.026266760488973282
sio2 all 20 dish white_p07_r0253,56,64,20,28,0.96875,2.9719425388453633e-06,0.024908997328705697
sio2 all 20 dish white_p07_r0254,56,64,24,32,1.0,2.676472473283487e-06,0.02392741964325169
sio2 all 20 dish white_p07_r0255,56,64,28,36,1.0,2.2540949684159187e-06,0.02310449122918534
sio2 all 20 dish white_p07_r0256,56,64,32,40,1.0,2.201869837679573e-06,0.022770745267719664
sio2 all 20 dish white_p07_r0257,56,64,36,44,1.0,2.1556197191157282e-06,0.02237033236330349
sio2 all 20 dish white_p07_r0258,56,64,40,48,1.0,1.9170648421527183e-06,0.021802994707607593
sio2 all 20 dish white_p07_r0259,56,64,44,52,1.0,1.8177868313148504e-06,0.02145824419722988
sio2 all 20 dish white_p07_r0260,56,64,48,56,1.0,1.8800962396259913e-06,0.02113571968614498
sio2 all 20 dish white_p07_r0261,56,64,52,60,1.0,2.005586125673807e-06,0.020861791159659863
sio2 all 20 dish white_p07_r0262,56,64,56,64,0.90625,1.993664058857776e-06,0.020691095226706927
sio2 all 20 dish white_p07_r0263,56,64,60,68,0.859375,1.8555617521811528e-06,0.020691832226479166
sio2 all 20 dish white_p07_r0264,56,64,64,72,0.953125,1.9979922190844064e-06,0.021009801612846195
sio2 all 20 dish white_p07_r0265,56,64,68,76,1.0,1.940746530581017e-06,0.02122168181252868
sio2 all 20 dish white_p07_r0266,56,64,72,80,0.953125,1.8922294903215122e-06,0.02131340441422915
